"","Estimate","Std. Error","df","t value","Pr(>|t|)","d"
"(Intercept)",37.083,1.481,57.755,25.039,0,3.11
"completion",0.064,1.528,49.726,0.042,0.967,0.01
"week",-3.605,0.421,241.939,-8.555,0,0.3
"I(week^2)",0.915,0.415,241.405,2.204,0.028,0.08
"age",2.344,1.52,48.974,1.542,0.13,0.2
"completion:week",-0.389,0.41,243.167,-0.949,0.344,0.03
