"","Estimate","Std. Error","df","t value","Pr(>|t|)","d"
"(Intercept)",15.316,1.074,104.354,14.257,0,1.85
"groupwaitlist",2.038,1.53,99.458,1.333,0.186,0.25
"week",-1.571,0.225,481.159,-6.978,0,0.19
"I(week^2)",0.487,0.161,480.238,3.031,0.003,0.06
"age",-0.035,0.765,99.325,-0.045,0.964,0
"groupwaitlist:week",0.479,0.313,480.706,1.527,0.127,0.06
