"","Estimate","Std. Error","df","t value","Pr(>|t|)","d"
"(Intercept)",14.999,1.057,54.871,14.193,0,1.83
"completion",-0.793,1.105,49.778,-0.718,0.476,0.1
"week",-1.651,0.245,241.619,-6.748,0,0.2
"I(week^2)",0.815,0.241,241.207,3.383,0.001,0.1
"age",0.81,1.101,49.186,0.736,0.465,0.1
"completion:week",-0.308,0.238,242.537,-1.292,0.198,0.04
