pid,week,module,activity,date,rct
5f34625f68dec936969152b0,0,,weekly_survey,2022-11-02 13:06:00,1
5ecffbd8141ffb0a3ec0eb86,0,,weekly_survey,2022-11-02 10:53:47,1
5d575f44182f9f001900a380,0,,weekly_survey,2022-11-01 22:34:34,1
6149b27bd1d1f40ed535c2b4,0,,weekly_survey,2022-11-01 22:08:21,1
6128bb91e53faf657695550c,0,,weekly_survey,2022-11-01 20:55:58,1
5e1781093582cc082a68723c,0,,weekly_survey,2022-11-01 20:23:58,1
5e808eb795fdc17626bcc164,0,,weekly_survey,2022-11-01 19:31:49,1
5ce7f7ae2aa9590016af2ba7,0,,weekly_survey,2022-11-01 19:30:20,1
5fb13129b04a8557d629bb16,0,,weekly_survey,2022-11-01 19:13:26,1
6303c76ad8f0c525dbaa6563,0,,weekly_survey,2022-11-01 19:08:47,1
61031d599d3fc41f00e7e6c0,0,,weekly_survey,2022-11-01 18:38:48,1
61474f07f4cfbc50cb3b2f1e,0,,weekly_survey,2022-11-01 18:34:37,1
60927707758ca118d00ac04b,0,,weekly_survey,2022-11-01 18:34:03,1
62d13eb8bb0d45e1ad36d312,0,,weekly_survey,2022-11-01 18:20:56,1
5e19d095c5d2902507755956,0,,weekly_survey,2022-11-01 18:17:22,1
5dc93b9a575da16530499583,0,,weekly_survey,2022-11-01 18:16:13,1
5edaac6ad4bd47161c3d50ba,0,,weekly_survey,2022-11-01 18:11:43,1
603d04228f5578000ba2c7b5,0,,weekly_survey,2022-11-01 18:07:06,1
5cad1eef8ed53d00180d2532,0,,weekly_survey,2022-11-01 17:55:08,1
5f1b5446ba959b33dbc0eede,0,,weekly_survey,2022-11-01 17:34:11,1
5da179412996110016d853d5,0,,weekly_survey,2022-11-01 17:10:53,1
5d2df58a481c4b001d16250d,0,,weekly_survey,2022-11-01 17:02:14,1
5c52f9bce66e510001ee16c2,0,,weekly_survey,2022-11-01 16:57:02,1
62a1d78571f418b5e6fc26fb,0,,weekly_survey,2022-11-01 16:34:48,1
5fd329adf2515a16ef7d1b58,0,,weekly_survey,2022-11-01 16:27:41,1
612cb8ab5ad60fc4504e073f,0,,weekly_survey,2022-11-01 16:02:39,1
5f00396a739ed5000c224c26,0,,weekly_survey,2022-11-01 15:59:36,1
5fc93d0e16b69439e106238e,0,,weekly_survey,2022-11-01 15:58:18,1
634800fdb2e94793820316a0,0,,weekly_survey,2022-11-01 15:54:14,1
611ffc2ea28e21fa33671d4c,0,,weekly_survey,2022-11-01 15:21:40,1
60edb4bc87206e9977d8d57e,0,,weekly_survey,2022-11-01 15:09:16,1
5891dd715c15e00001583fbc,0,,weekly_survey,2022-11-01 14:57:18,1
6078649b9de64f21e3fee45d,0,,weekly_survey,2022-11-01 14:56:56,1
6014c1b18c19b3524a3ef183,0,,weekly_survey,2022-11-01 14:42:52,1
60ec9212ee17ee6d4945f7de,0,,weekly_survey,2022-11-01 14:41:05,1
5e291f8145cbca0ecbadd6a3,0,,weekly_survey,2022-11-01 14:28:38,1
634b019c131faf32332e429d,0,,weekly_survey,2022-11-01 14:11:10,1
61321dc71434c8765dd3bf1c,0,,weekly_survey,2022-11-01 13:54:54,1
5e204990b062543612e9a254,0,,weekly_survey,2022-11-01 13:36:14,1
5d3d9749607ede001a0712df,0,,weekly_survey,2022-11-01 13:27:20,1
5995889da2bbe000018833d9,0,,weekly_survey,2022-11-01 13:25:59,1
5e9c5460d2c58515ec1702be,0,,weekly_survey,2022-11-01 13:20:43,1
5d2fc33c3af1410018f872ae,0,,weekly_survey,2022-11-01 13:18:21,1
5eff6065cc8d32014292657f,0,,weekly_survey,2022-11-01 13:13:12,1
629f9d0e292a1846040223b7,0,,weekly_survey,2022-11-01 13:11:43,1
5f0f2ff0762218000970c967,0,,weekly_survey,2022-11-01 13:11:07,1
5689916dd3d6a7000aa1cbf0,0,,weekly_survey,2022-11-01 13:07:52,1
5bb0cc738f3bd70001e513e3,0,,weekly_survey,2022-11-01 13:07:37,1
6307cc2da13d39254c1f139c,0,,weekly_survey,2022-11-01 13:06:02,1
5efc4bfd3ba857044cac4787,0,,weekly_survey,2022-11-01 13:05:00,1
5a6107bb31b87a0001c6c49b,0,,weekly_survey,2022-11-01 13:03:20,1
5f50e3d60305bb088998b766,0,,weekly_survey,2022-11-01 13:03:07,1
62fb79a36ba83fbcd9b713c6,0,,weekly_survey,2022-11-01 12:30:10,1
5dccf99db9d9049777368b3b,0,,weekly_survey,2022-11-01 12:18:05,1
603ce90d158dc4ae761a15fa,0,,weekly_survey,2022-11-02 14:36:15,1
5d651053afb8f700198459d4,0,,weekly_survey,2022-11-02 14:10:51,1
5f3e788210bda10837e37fca,0,,weekly_survey,2022-11-02 13:41:14,1
5fc0ddfbcfc57d00094c4b3d,0,,weekly_survey,2022-11-02 13:30:05,1
5f81cf89624ff22aadd9c9a7,0,,weekly_survey,2022-11-02 13:07:43,1
628f73adc5b81a118dfb1a06,0,,weekly_survey,2022-11-02 13:06:55,1
61673b692a55fba0f6b8abf1,0,,weekly_survey,2022-11-02 13:04:10,1
5b6cd747a1fda800015ff9ba,0,,weekly_survey,2022-11-02 12:48:26,1
5fe3740d2738affd7cad1bc0,0,,weekly_survey,2022-11-02 11:57:12,1
5efb98c3d5919f121a986486,0,,weekly_survey,2022-11-02 11:16:43,1
5bbbcd283895e3000163213f,0,,weekly_survey,2022-11-02 10:53:58,1
5b2accc228c8850001e7f85b,0,,weekly_survey,2022-11-02 10:46:23,1
62ebd08bd6729790ced8587f,0,,weekly_survey,2022-11-02 10:45:05,1
