pid,week,module,activity,date,rct
63468948a737d638cacf18bb,0,introduction,M0C1,2022-11-02 11:00:19,1
5baa81380d7ad600017a85de,0,introduction,M0C1,2022-11-02 10:32:01,1
5f28431d82be890d2f58a32d,0,introduction,M0C1,2022-11-01 23:22:44,1
5c37223ebef9a20001e38dad,0,introduction,M0C1,2022-11-01 23:22:39,1
5ed68c770e41400dd0056c55,0,introduction,M0C1,2022-11-01 22:51:56,1
62ce97db1fa788670dea28c2,0,introduction,M0C1,2022-11-01 21:56:38,1
5b7f17a7338a93000155a36d,0,introduction,M0C1,2022-11-01 21:37:43,1
61470066dce66ce341df39c1,0,introduction,M0C1,2022-11-01 21:23:02,1
58ebfc286d5fe6000166b9ff,0,introduction,M0C1,2022-11-01 20:35:32,1
6173a7aa2d3f11e56d9f96f2,0,introduction,M0C1,2022-11-01 20:15:02,1
601732b73bdebe96ac49d4eb,0,introduction,M0C1,2022-11-01 20:13:55,1
57fbd79de7e73400019ca256,0,introduction,M0C1,2022-11-01 19:48:51,1
62796c419a79d1923fd947e2,0,introduction,M0C1,2022-11-01 19:47:00,1
5e1cf0eb65b6d3071f489de9,0,introduction,M0C1,2022-11-01 19:35:38,1
5f69a3c91c1e25193e3f9c7b,0,introduction,M0C1,2022-11-01 19:12:23,1
5c4b987538878c0001c7883b,0,introduction,M0C1,2022-11-01 18:40:07,1
611cecb5dbc0658aad64bf2d,0,introduction,M0C1,2022-11-01 18:15:17,1
611cf78346c5e728a66f1ebe,0,introduction,M0C1,2022-11-01 18:08:14,1
634d73a0b235813241e9532a,0,introduction,M0C1,2022-11-01 17:29:22,1
5c17c149f596b100011ca8b8,0,introduction,M0C1,2022-11-01 17:15:13,1
5f493fea06249046a8db8569,0,introduction,M0C1,2022-11-01 16:58:22,1
60da18693053b2c1d420085f,0,introduction,M0C1,2022-11-01 16:40:00,1
60c20abfdccab926283d8f7f,0,introduction,M0C1,2022-11-01 16:33:23,1
5dbb0562b1df1b110ead5bba,0,introduction,M0C1,2022-11-01 14:22:14,1
60ddcc052137212419247c3c,0,introduction,M0C1,2022-11-01 13:43:00,1
5caa61abcb4af3001640e877,0,introduction,M0C1,2022-11-01 13:33:51,1
5cad1eef8ed53d00180d2532,6,introduction,M0C2,2022-12-28 00:05:13,1
5fc93d0e16b69439e106238e,6,introduction,M0C2,2022-12-12 13:55:14,1
634800fdb2e94793820316a0,4,introduction,M0C2,2022-12-06 09:46:13,1
6014c1b18c19b3524a3ef183,4,introduction,M0C2,2022-12-02 22:39:05,1
5d575f44182f9f001900a380,4,introduction,M0C2,2022-12-01 01:09:36,1
5b6cd747a1fda800015ff9ba,1,introduction,M0C2,2022-11-08 14:12:35,1
5cc36fcedc68980014f27704,1,introduction,M0C2,2022-11-07 14:08:22,1
5d9261e776e8dd00195f28f2,1,introduction,M0C2,2022-11-07 12:15:53,1
