"","Estimate","Std. Error","df","t value","Pr(>|t|)","d"
"(Intercept)",37.082,1.484,106.966,24.986,0,3.13
"groupwaitlist",2.259,2.1,99.524,1.076,0.285,0.19
"week",-3.536,0.383,481.905,-9.238,0,0.3
"I(week^2)",0.625,0.273,480.661,2.285,0.023,0.05
"age",1.526,1.05,99.348,1.453,0.149,0.13
"groupwaitlist:week",1.405,0.533,481.368,2.637,0.009,0.12
