	uid	Start Date (UTC)	Submit Date (UTC)	duration (sec)
0	634800fdb2e94793820316a0	2022-12-06 09:44:24	2022-12-06 09:46:13	109
1	6014c1b18c19b3524a3ef183	2022-12-02 22:38:26	2022-12-02 22:39:05	39
2	5cad1eef8ed53d00180d2532	2022-12-02 03:57:28	2022-12-02 04:00:34	186
3	5d575f44182f9f001900a380	2022-12-01 01:07:38	2022-12-01 01:09:36	118
4	5b6cd747a1fda800015ff9ba	2022-11-08 14:10:58	2022-11-08 14:12:35	97
5	5cc36fcedc68980014f27704	2022-11-07 14:07:07	2022-11-07 14:08:22	75
6	5d9261e776e8dd00195f28f2	2022-11-07 12:15:12	2022-11-07 12:15:53	41
7	61673b692a55fba0f6b8abf1	2022-11-06 18:11:57	2022-11-06 18:12:59	62
8	61011dd1dccad8267930b9bd	2022-11-06 12:12:22	2022-11-06 12:13:30	68
9	628f73adc5b81a118dfb1a06	2022-11-06 09:01:51	2022-11-06 09:03:36	105
10	627414b935ba5506bee347d2	2022-11-04 20:52:28	2022-11-04 20:57:01	273
11	62ebd08bd6729790ced8587f	2022-11-04 10:21:24	2022-11-04 10:22:38	74
12	5d651053afb8f700198459d4	2022-11-03 19:57:12	2022-11-03 20:01:36	264
13	5a4be74f21bfa00001081851	2022-11-03 09:43:57	2022-11-03 09:45:31	94
14	5f7e180204eed80b515a3569	2022-11-02 21:20:51	2022-11-02 21:24:22	211
15	5bbbcd283895e3000163213f	2022-11-02 20:18:19	2022-11-02 20:20:26	127
16	615f352d323edd8ef58fedbd	2022-11-02 19:04:13	2022-11-02 19:05:35	82
17	60dfa262b225a8e45b6d4421	2022-11-02 18:37:02	2022-11-02 18:39:06	124
18	617097e90d0505595ce66612	2022-11-02 15:34:15	2022-11-02 15:35:45	90
19	603ce90d158dc4ae761a15fa	2022-11-02 15:12:59	2022-11-02 15:15:19	140
20	5f3e788210bda10837e37fca	2022-11-02 14:08:30	2022-11-02 14:10:39	129
21	5fc0ddfbcfc57d00094c4b3d	2022-11-02 14:05:47	2022-11-02 14:06:40	53
22	5f81cf89624ff22aadd9c9a7	2022-11-02 13:42:43	2022-11-02 13:44:48	125
23	63468948a737d638cacf18bb	2022-11-02 13:32:06	2022-11-02 13:33:23	77
24	5fe3740d2738affd7cad1bc0	2022-11-02 12:16:56	2022-11-02 12:17:40	44
25	5efb98c3d5919f121a986486	2022-11-02 11:39:23	2022-11-02 11:40:17	54
26	5b2accc228c8850001e7f85b	2022-11-02 11:17:03	2022-11-02 11:18:43	100
27	5baa81380d7ad600017a85de	2022-11-02 10:32:15	2022-11-02 10:33:29	74
28	5c37223ebef9a20001e38dad	2022-11-01 23:23:48	2022-11-01 23:28:50	302
29	5f28431d82be890d2f58a32d	2022-11-01 23:24:38	2022-11-01 23:26:18	100
30	5ed68c770e41400dd0056c55	2022-11-01 22:52:11	2022-11-01 22:54:17	126
31	62ce97db1fa788670dea28c2	2022-11-01 21:56:56	2022-11-01 21:58:03	67
32	5b7f17a7338a93000155a36d	2022-11-01 21:38:02	2022-11-01 21:39:34	92
33	61470066dce66ce341df39c1	2022-11-01 21:23:08	2022-11-01 21:23:46	38
34	58ebfc286d5fe6000166b9ff	2022-11-01 20:35:41	2022-11-01 20:36:49	68
35	6173a7aa2d3f11e56d9f96f2	2022-11-01 20:15:16	2022-11-01 20:16:17	61
36	601732b73bdebe96ac49d4eb	2022-11-01 20:14:19	2022-11-01 20:15:50	91
37	57fbd79de7e73400019ca256	2022-11-01 19:49:06	2022-11-01 19:51:30	144
38	62796c419a79d1923fd947e2	2022-11-01 19:47:09	2022-11-01 19:48:38	89
39	5e1cf0eb65b6d3071f489de9	2022-11-01 19:35:51	2022-11-01 19:36:59	68
40	5f69a3c91c1e25193e3f9c7b	2022-11-01 19:12:32	2022-11-01 19:13:56	84
41	5c4b987538878c0001c7883b	2022-11-01 18:41:20	2022-11-01 18:42:36	76
42	611cecb5dbc0658aad64bf2d	2022-11-01 18:15:30	2022-11-01 18:16:53	83
43	611cf78346c5e728a66f1ebe	2022-11-01 18:08:36	2022-11-01 18:10:33	117
44	634d73a0b235813241e9532a	2022-11-01 17:29:28	2022-11-01 17:29:57	29
45	5c17c149f596b100011ca8b8	2022-11-01 17:16:18	2022-11-01 17:19:37	199
46	5f493fea06249046a8db8569	2022-11-01 16:54:39	2022-11-01 16:56:19	100
47	60da18693053b2c1d420085f	2022-11-01 16:40:09	2022-11-01 16:41:41	92
48	60c20abfdccab926283d8f7f	2022-11-01 16:33:36	2022-11-01 16:34:09	33
49	5dbb0562b1df1b110ead5bba	2022-11-01 14:22:32	2022-11-01 14:24:33	121
50	60ddcc052137212419247c3c	2022-11-01 13:43:12	2022-11-01 13:44:40	88
51	5caa61abcb4af3001640e877	2022-11-01 13:33:59	2022-11-01 13:37:31	212
