	uid	Start Date (UTC)	Submit Date (UTC)	duration (sec)
0	5cad1eef8ed53d00180d2532	2022-12-04 22:18:31	2022-12-04 22:37:35	1144
1	5b6cd747a1fda800015ff9ba	2022-11-08 14:22:45	2022-11-08 14:31:54	549
2	5e41630f6391e10286e2bddf	2022-11-07 20:09:23	2022-11-07 20:14:21	298
3	5cc36fcedc68980014f27704	2022-11-07 14:00:16	2022-11-07 14:05:17	301
4	601732b73bdebe96ac49d4eb	2022-11-07 12:40:33	2022-11-07 12:47:55	442
5	5d9261e776e8dd00195f28f2	2022-11-07 12:18:39	2022-11-07 12:21:47	188
6	61673b692a55fba0f6b8abf1	2022-11-07 11:29:58	2022-11-07 11:34:02	244
7	5fe3740d2738affd7cad1bc0	2022-11-07 09:19:59	2022-11-07 09:23:23	204
8	5f3e788210bda10837e37fca	2022-11-07 06:01:49	2022-11-07 06:08:09	380
9	61011dd1dccad8267930b9bd	2022-11-06 12:20:22	2022-11-06 12:27:12	410
10	60dfa262b225a8e45b6d4421	2022-11-06 11:52:59	2022-11-06 11:58:42	343
11	5f81cf89624ff22aadd9c9a7	2022-11-06 10:54:28	2022-11-06 11:07:35	787
12	628f73adc5b81a118dfb1a06	2022-11-06 09:09:20	2022-11-06 09:17:00	460
13	627414b935ba5506bee347d2	2022-11-05 22:25:30	2022-11-05 22:31:45	375
14	5f7e180204eed80b515a3569	2022-11-05 22:01:48	2022-11-05 22:21:21	1173
15	5c4b987538878c0001c7883b	2022-11-05 21:46:05	2022-11-05 21:53:28	443
16	5e1cf0eb65b6d3071f489de9	2022-11-05 11:13:48	2022-11-05 11:20:38	410
17	5c17c149f596b100011ca8b8	2022-11-04 12:34:56	2022-11-04 14:06:35	5499
18	62ebd08bd6729790ced8587f	2022-11-04 10:27:41	2022-11-04 10:32:33	292
19	5bbbcd283895e3000163213f	2022-11-04 09:12:48	2022-11-04 09:16:23	215
20	62796c419a79d1923fd947e2	2022-11-03 22:38:45	2022-11-03 22:43:25	280
21	5caa61abcb4af3001640e877	2022-11-03 20:54:39	2022-11-03 20:57:45	186
22	5d651053afb8f700198459d4	2022-11-03 20:10:11	2022-11-03 20:20:12	601
23	63468948a737d638cacf18bb	2022-11-03 19:22:26	2022-11-03 19:27:11	285
24	5c37223ebef9a20001e38dad	2022-11-03 17:58:57	2022-11-03 18:08:53	596
25	6173a7aa2d3f11e56d9f96f2	2022-11-03 17:47:39	2022-11-03 17:51:40	241
26	5f493fea06249046a8db8569	2022-11-03 17:32:17	2022-11-03 17:38:01	344
27	62ce97db1fa788670dea28c2	2022-11-03 11:02:14	2022-11-03 11:07:09	295
28	5b7f17a7338a93000155a36d	2022-11-03 00:47:21	2022-11-03 00:53:48	387
29	615f352d323edd8ef58fedbd	2022-11-02 19:28:51	2022-11-02 19:32:35	224
30	617097e90d0505595ce66612	2022-11-02 18:29:33	2022-11-02 18:37:06	453
31	603ce90d158dc4ae761a15fa	2022-11-02 15:23:33	2022-11-02 15:33:00	567
32	5fc0ddfbcfc57d00094c4b3d	2022-11-02 14:11:14	2022-11-02 14:14:30	196
33	5efb98c3d5919f121a986486	2022-11-02 11:44:08	2022-11-02 11:46:52	164
34	5b2accc228c8850001e7f85b	2022-11-02 11:26:52	2022-11-02 11:34:50	478
35	5baa81380d7ad600017a85de	2022-11-02 10:38:39	2022-11-02 10:43:28	289
36	5f28431d82be890d2f58a32d	2022-11-01 23:41:20	2022-11-01 23:47:34	374
37	5ed68c770e41400dd0056c55	2022-11-01 23:00:51	2022-11-01 23:06:39	348
38	611cecb5dbc0658aad64bf2d	2022-11-01 21:26:15	2022-11-01 21:47:14	1259
39	61470066dce66ce341df39c1	2022-11-01 21:27:49	2022-11-01 21:29:43	114
40	58ebfc286d5fe6000166b9ff	2022-11-01 21:09:29	2022-11-01 21:15:00	331
41	57fbd79de7e73400019ca256	2022-11-01 20:01:15	2022-11-01 21:08:58	4063
42	611cf78346c5e728a66f1ebe	2022-11-01 20:02:08	2022-11-01 20:08:20	372
43	5f69a3c91c1e25193e3f9c7b	2022-11-01 19:18:55	2022-11-01 19:23:19	264
44	634d73a0b235813241e9532a	2022-11-01 17:32:10	2022-11-01 17:34:04	114
45	60da18693053b2c1d420085f	2022-11-01 16:46:49	2022-11-01 16:53:02	373
46	60c20abfdccab926283d8f7f	2022-11-01 16:38:10	2022-11-01 16:42:36	266
47	5dbb0562b1df1b110ead5bba	2022-11-01 14:32:56	2022-11-01 14:40:25	449
48	60ddcc052137212419247c3c	2022-11-01 13:51:36	2022-11-01 13:57:17	341
