	uid	Start Date (UTC)	Submit Date (UTC)	duration (sec)
0	62796c419a79d1923fd947e2	2022-11-18 18:00:40	2022-11-18 18:05:21	281
1	60da18693053b2c1d420085f	2022-11-18 16:45:51	2022-11-18 16:50:16	265
2	628f73adc5b81a118dfb1a06	2022-11-14 18:44:55	2022-11-14 18:50:13	318
3	627414b935ba5506bee347d2	2022-11-14 16:13:07	2022-11-14 16:17:50	283
4	601732b73bdebe96ac49d4eb	2022-11-14 15:39:08	2022-11-14 15:46:36	448
5	5f3e788210bda10837e37fca	2022-11-14 12:51:27	2022-11-14 12:57:32	365
6	61011dd1dccad8267930b9bd	2022-11-14 08:59:44	2022-11-14 09:03:57	253
7	5c17c149f596b100011ca8b8	2022-11-13 22:20:32	2022-11-13 22:29:54	562
8	5f7e180204eed80b515a3569	2022-11-13 21:46:45	2022-11-13 21:57:14	629
9	57fbd79de7e73400019ca256	2022-11-13 20:43:53	2022-11-13 20:59:48	955
10	5d651053afb8f700198459d4	2022-11-13 20:36:41	2022-11-13 20:44:15	454
11	5e41630f6391e10286e2bddf	2022-11-13 19:30:14	2022-11-13 19:37:34	440
12	5f493fea06249046a8db8569	2022-11-13 15:54:18	2022-11-13 15:58:05	227
13	603ce90d158dc4ae761a15fa	2022-11-13 14:56:09	2022-11-13 15:02:26	377
14	5c4b987538878c0001c7883b	2022-11-13 07:27:36	2022-11-13 07:32:39	303
15	60dfa262b225a8e45b6d4421	2022-11-13 02:50:57	2022-11-13 02:55:51	294
16	61470066dce66ce341df39c1	2022-11-12 17:37:44	2022-11-12 17:39:22	98
17	617097e90d0505595ce66612	2022-11-12 14:27:35	2022-11-12 14:31:46	251
18	62ebd08bd6729790ced8587f	2022-11-12 08:46:02	2022-11-12 08:50:42	280
19	58ebfc286d5fe6000166b9ff	2022-11-11 20:53:04	2022-11-11 20:57:48	284
20	5e1cf0eb65b6d3071f489de9	2022-11-11 16:13:41	2022-11-11 16:18:08	267
21	63468948a737d638cacf18bb	2022-11-11 09:37:43	2022-11-11 09:41:38	235
22	60ddcc052137212419247c3c	2022-11-10 21:37:29	2022-11-10 21:41:19	230
23	5fe3740d2738affd7cad1bc0	2022-11-10 20:38:48	2022-11-10 20:47:14	506
24	5b6cd747a1fda800015ff9ba	2022-11-10 12:59:21	2022-11-10 13:04:09	288
25	5f81cf89624ff22aadd9c9a7	2022-11-10 11:16:28	2022-11-10 11:22:32	364
26	6173a7aa2d3f11e56d9f96f2	2022-11-09 17:59:44	2022-11-09 18:02:52	188
27	5c37223ebef9a20001e38dad	2022-11-09 00:41:36	2022-11-09 00:45:01	205
28	5b2accc228c8850001e7f85b	2022-11-08 19:55:09	2022-11-08 20:00:46	337
29	5fc0ddfbcfc57d00094c4b3d	2022-11-08 19:24:23	2022-11-08 19:32:09	466
30	615f352d323edd8ef58fedbd	2022-11-08 18:19:05	2022-11-08 18:53:18	2053
31	5d9261e776e8dd00195f28f2	2022-11-08 17:15:31	2022-11-08 17:18:15	164
32	60c20abfdccab926283d8f7f	2022-11-08 14:50:34	2022-11-08 14:55:55	321
33	5f69a3c91c1e25193e3f9c7b	2022-11-08 10:40:13	2022-11-08 10:52:19	726
34	5bbbcd283895e3000163213f	2022-11-08 10:06:28	2022-11-08 10:09:52	204
35	5baa81380d7ad600017a85de	2022-11-07 23:31:10	2022-11-07 23:34:30	200
36	611cf78346c5e728a66f1ebe	2022-11-07 22:24:51	2022-11-07 22:29:45	294
37	611cecb5dbc0658aad64bf2d	2022-11-07 21:08:15	2022-11-07 21:13:57	342
38	5cc36fcedc68980014f27704	2022-11-07 19:35:26	2022-11-07 19:40:50	324
39	5caa61abcb4af3001640e877	2022-11-07 18:57:57	2022-11-07 19:01:57	240
40	5efb98c3d5919f121a986486	2022-11-07 18:29:32	2022-11-07 18:33:50	258
41	634d73a0b235813241e9532a	2022-11-07 16:48:52	2022-11-07 16:51:25	153
42	5ed68c770e41400dd0056c55	2022-11-07 16:42:19	2022-11-07 16:46:31	252
43	5dbb0562b1df1b110ead5bba	2022-11-07 16:35:17	2022-11-07 16:44:50	573
