	uid	Start Date (UTC)	Submit Date (UTC)	duration (sec)
0	634800fdb2e94793820316a0	2022-12-06 09:42:11	2022-12-06 09:44:09	118
1	5cad1eef8ed53d00180d2532	2022-12-02 03:53:42	2022-12-02 03:56:59	197
2	5d575f44182f9f001900a380	2022-12-01 01:05:05	2022-12-01 01:07:18	133
3	5b6cd747a1fda800015ff9ba	2022-11-08 14:09:02	2022-11-08 14:10:47	105
4	5cc36fcedc68980014f27704	2022-11-07 14:05:44	2022-11-07 14:06:57	73
5	5d9261e776e8dd00195f28f2	2022-11-07 12:14:00	2022-11-07 12:14:59	59
6	61673b692a55fba0f6b8abf1	2022-11-06 18:10:10	2022-11-06 18:11:43	93
7	61011dd1dccad8267930b9bd	2022-11-06 12:10:04	2022-11-06 12:11:56	112
8	628f73adc5b81a118dfb1a06	2022-11-06 08:59:38	2022-11-06 09:01:38	120
9	627414b935ba5506bee347d2	2022-11-04 20:48:04	2022-11-04 20:50:59	175
10	62ebd08bd6729790ced8587f	2022-11-04 10:19:56	2022-11-04 10:21:13	77
11	5d651053afb8f700198459d4	2022-11-03 19:55:30	2022-11-03 19:56:59	89
12	5a4be74f21bfa00001081851	2022-11-03 09:42:11	2022-11-03 09:43:43	92
13	5f7e180204eed80b515a3569	2022-11-02 21:18:27	2022-11-02 21:20:35	128
14	5bbbcd283895e3000163213f	2022-11-02 20:16:36	2022-11-02 20:17:58	82
15	615f352d323edd8ef58fedbd	2022-11-02 19:01:33	2022-11-02 19:04:04	151
16	60dfa262b225a8e45b6d4421	2022-11-02 18:35:28	2022-11-02 18:36:49	81
17	617097e90d0505595ce66612	2022-11-02 15:32:11	2022-11-02 15:34:01	110
18	603ce90d158dc4ae761a15fa	2022-11-02 15:10:34	2022-11-02 15:12:40	126
19	5f3e788210bda10837e37fca	2022-11-02 14:07:02	2022-11-02 14:08:19	77
20	5fc0ddfbcfc57d00094c4b3d	2022-11-02 14:04:46	2022-11-02 14:05:38	52
21	5f81cf89624ff22aadd9c9a7	2022-11-02 13:40:54	2022-11-02 13:42:29	95
22	5fe3740d2738affd7cad1bc0	2022-11-02 12:16:03	2022-11-02 12:16:47	44
23	5efb98c3d5919f121a986486	2022-11-02 11:38:27	2022-11-02 11:39:15	48
24	5b2accc228c8850001e7f85b	2022-11-02 11:15:15	2022-11-02 11:16:49	94
25	63468948a737d638cacf18bb	2022-11-02 10:59:16	2022-11-02 11:00:19	63
26	5baa81380d7ad600017a85de	2022-11-02 10:30:30	2022-11-02 10:32:01	91
27	5f28431d82be890d2f58a32d	2022-11-01 23:20:10	2022-11-01 23:22:44	154
28	5c37223ebef9a20001e38dad	2022-11-01 23:19:13	2022-11-01 23:22:39	206
29	5ed68c770e41400dd0056c55	2022-11-01 22:50:05	2022-11-01 22:51:56	111
30	62ce97db1fa788670dea28c2	2022-11-01 21:55:15	2022-11-01 21:56:38	83
31	5b7f17a7338a93000155a36d	2022-11-01 21:36:27	2022-11-01 21:37:43	76
32	61470066dce66ce341df39c1	2022-11-01 21:22:24	2022-11-01 21:23:02	38
33	58ebfc286d5fe6000166b9ff	2022-11-01 20:34:00	2022-11-01 20:35:32	92
34	6173a7aa2d3f11e56d9f96f2	2022-11-01 20:13:51	2022-11-01 20:15:02	71
35	601732b73bdebe96ac49d4eb	2022-11-01 20:09:20	2022-11-01 20:13:55	275
36	57fbd79de7e73400019ca256	2022-11-01 19:47:19	2022-11-01 19:48:51	92
37	62796c419a79d1923fd947e2	2022-11-01 19:45:57	2022-11-01 19:47:00	63
38	5e1cf0eb65b6d3071f489de9	2022-11-01 19:32:55	2022-11-01 19:35:38	163
39	5f69a3c91c1e25193e3f9c7b	2022-11-01 19:11:07	2022-11-01 19:12:23	76
40	5c4b987538878c0001c7883b	2022-11-01 18:38:39	2022-11-01 18:40:07	88
41	611cecb5dbc0658aad64bf2d	2022-11-01 18:14:04	2022-11-01 18:15:17	73
42	611cf78346c5e728a66f1ebe	2022-11-01 18:06:16	2022-11-01 18:08:14	118
43	634d73a0b235813241e9532a	2022-11-01 17:28:45	2022-11-01 17:29:22	37
44	5c17c149f596b100011ca8b8	2022-11-01 17:11:05	2022-11-01 17:15:13	248
45	5f493fea06249046a8db8569	2022-11-01 16:56:36	2022-11-01 16:58:22	106
46	60da18693053b2c1d420085f	2022-11-01 16:38:53	2022-11-01 16:40:00	67
47	60c20abfdccab926283d8f7f	2022-11-01 16:32:37	2022-11-01 16:33:23	46
48	5dbb0562b1df1b110ead5bba	2022-11-01 14:20:13	2022-11-01 14:22:14	121
49	60ddcc052137212419247c3c	2022-11-01 13:41:35	2022-11-01 13:43:00	85
50	5caa61abcb4af3001640e877	2022-11-01 13:32:57	2022-11-01 13:33:51	54
