	uid	Start Date (UTC)	Submit Date (UTC)	duration (sec)
0	5f69a3c91c1e25193e3f9c7b	2022-11-29 22:27:36	2022-11-29 22:58:18	1842
1	5c17c149f596b100011ca8b8	2022-11-29 19:54:28	2022-11-29 22:07:01	7953
2	5f3e788210bda10837e37fca	2022-11-29 21:31:31	2022-11-29 21:37:12	341
3	5d651053afb8f700198459d4	2022-11-29 17:36:41	2022-11-29 17:46:12	571
4	5e1cf0eb65b6d3071f489de9	2022-11-29 11:28:29	2022-11-29 11:37:50	561
5	611cf78346c5e728a66f1ebe	2022-11-29 07:17:54	2022-11-29 07:22:42	288
6	5b7f17a7338a93000155a36d	2022-11-29 00:48:04	2022-11-29 00:53:37	333
7	601732b73bdebe96ac49d4eb	2022-11-28 22:15:24	2022-11-28 22:24:19	535
8	5cc36fcedc68980014f27704	2022-11-28 21:38:09	2022-11-28 22:07:51	1782
9	627414b935ba5506bee347d2	2022-11-28 21:23:48	2022-11-28 21:28:43	295
10	57fbd79de7e73400019ca256	2022-11-28 20:30:52	2022-11-28 20:32:35	103
11	5f7e180204eed80b515a3569	2022-11-28 18:47:28	2022-11-28 19:21:51	2063
12	5f493fea06249046a8db8569	2022-11-28 15:33:05	2022-11-28 15:37:47	282
13	63468948a737d638cacf18bb	2022-11-28 13:46:05	2022-11-28 13:51:28	323
14	5c37223ebef9a20001e38dad	2022-11-28 10:59:44	2022-11-28 11:17:50	1086
15	60ddcc052137212419247c3c	2022-11-28 09:44:02	2022-11-28 09:49:11	309
16	603ce90d158dc4ae761a15fa	2022-11-28 00:58:57	2022-11-28 01:08:26	569
17	5bbbcd283895e3000163213f	2022-11-27 23:37:00	2022-11-27 23:43:10	370
18	60c20abfdccab926283d8f7f	2022-11-27 13:22:25	2022-11-27 13:28:09	344
19	62ebd08bd6729790ced8587f	2022-11-27 13:20:17	2022-11-27 13:24:44	267
20	5caa61abcb4af3001640e877	2022-11-25 08:14:10	2022-11-25 08:17:38	208
21	634d73a0b235813241e9532a	2022-11-24 13:24:53	2022-11-24 13:27:20	147
22	5c4b987538878c0001c7883b	2022-11-24 12:06:02	2022-11-24 12:11:39	337
23	611cecb5dbc0658aad64bf2d	2022-11-23 21:12:29	2022-11-23 21:18:08	339
24	5b6cd747a1fda800015ff9ba	2022-11-23 16:47:30	2022-11-23 16:52:41	311
25	5dbb0562b1df1b110ead5bba	2022-11-22 19:10:48	2022-11-22 19:22:36	708
26	5d9261e776e8dd00195f28f2	2022-11-22 16:17:18	2022-11-22 16:22:04	286
27	5baa81380d7ad600017a85de	2022-11-21 22:32:32	2022-11-21 22:36:31	239
28	5ed68c770e41400dd0056c55	2022-11-21 22:16:49	2022-11-21 22:28:56	727
29	5fc0ddfbcfc57d00094c4b3d	2022-11-21 19:39:00	2022-11-21 19:42:29	209
30	5efb98c3d5919f121a986486	2022-11-21 19:26:40	2022-11-21 19:31:27	287
31	5b2accc228c8850001e7f85b	2022-11-21 16:56:06	2022-11-21 17:00:01	235
