	uid	Start Date (UTC)	Submit Date (UTC)	duration (sec)
0	5f69a3c91c1e25193e3f9c7b	2022-11-29 22:20:00	2022-11-29 22:27:26	446
1	5d651053afb8f700198459d4	2022-11-29 17:25:11	2022-11-29 17:35:11	600
2	5e1cf0eb65b6d3071f489de9	2022-11-29 11:22:50	2022-11-29 11:28:17	327
3	5b7f17a7338a93000155a36d	2022-11-29 00:41:26	2022-11-29 00:47:27	361
4	627414b935ba5506bee347d2	2022-11-28 21:16:19	2022-11-28 21:23:26	427
5	57fbd79de7e73400019ca256	2022-11-28 20:32:43	2022-11-28 20:42:05	562
6	601732b73bdebe96ac49d4eb	2022-11-28 17:18:14	2022-11-28 17:57:03	2329
7	5cc36fcedc68980014f27704	2022-11-28 16:18:39	2022-11-28 16:32:27	828
8	63468948a737d638cacf18bb	2022-11-28 13:39:32	2022-11-28 13:45:20	348
9	5c17c149f596b100011ca8b8	2022-11-28 09:45:09	2022-11-28 12:28:16	9787
10	603ce90d158dc4ae761a15fa	2022-11-28 00:50:10	2022-11-28 00:58:24	494
11	5f7e180204eed80b515a3569	2022-11-27 21:32:22	2022-11-27 21:48:21	959
12	5f3e788210bda10837e37fca	2022-11-27 19:29:39	2022-11-27 19:45:32	953
13	5caa61abcb4af3001640e877	2022-11-25 08:08:58	2022-11-25 08:13:59	301
14	611cf78346c5e728a66f1ebe	2022-11-24 19:15:05	2022-11-24 19:24:36	571
15	60ddcc052137212419247c3c	2022-11-24 15:31:58	2022-11-24 15:38:46	408
16	634d73a0b235813241e9532a	2022-11-24 13:27:27	2022-11-24 13:29:37	130
17	5c4b987538878c0001c7883b	2022-11-24 11:55:06	2022-11-24 12:03:02	476
18	5c37223ebef9a20001e38dad	2022-11-24 11:07:07	2022-11-24 11:18:23	676
19	611cecb5dbc0658aad64bf2d	2022-11-23 21:06:17	2022-11-23 21:12:15	358
20	5b6cd747a1fda800015ff9ba	2022-11-23 16:40:13	2022-11-23 16:47:14	421
21	5dbb0562b1df1b110ead5bba	2022-11-22 16:58:07	2022-11-22 17:07:11	544
22	5d9261e776e8dd00195f28f2	2022-11-22 16:11:29	2022-11-22 16:17:02	333
23	5f493fea06249046a8db8569	2022-11-22 13:08:10	2022-11-22 13:26:16	1086
24	60c20abfdccab926283d8f7f	2022-11-22 06:50:14	2022-11-22 06:54:45	271
25	5bbbcd283895e3000163213f	2022-11-21 23:57:39	2022-11-22 00:03:36	357
26	5baa81380d7ad600017a85de	2022-11-21 22:27:23	2022-11-21 22:32:21	298
27	5ed68c770e41400dd0056c55	2022-11-21 21:47:06	2022-11-21 22:16:35	1769
28	5fc0ddfbcfc57d00094c4b3d	2022-11-21 19:33:05	2022-11-21 19:38:50	345
29	5efb98c3d5919f121a986486	2022-11-21 13:30:07	2022-11-21 19:26:23	21376
30	5b2accc228c8850001e7f85b	2022-11-21 16:50:34	2022-11-21 16:55:48	314
31	62ebd08bd6729790ced8587f	2022-11-21 15:24:17	2022-11-21 15:29:14	297
