	uid	Start Date (UTC)	Submit Date (UTC)	duration (sec)
0	5f81cf89624ff22aadd9c9a7	2022-11-28 21:57:09	2022-11-28 22:01:53	284
1	62796c419a79d1923fd947e2	2022-11-26 11:03:43	2022-11-26 11:07:34	231
2	5b7f17a7338a93000155a36d	2022-11-23 22:09:28	2022-11-23 22:15:24	356
3	5cc36fcedc68980014f27704	2022-11-21 16:46:24	2022-11-21 16:52:25	361
4	627414b935ba5506bee347d2	2022-11-21 15:36:38	2022-11-21 15:43:28	410
5	5f3e788210bda10837e37fca	2022-11-21 14:55:27	2022-11-21 15:00:25	298
6	601732b73bdebe96ac49d4eb	2022-11-21 13:24:29	2022-11-21 13:30:23	354
7	617097e90d0505595ce66612	2022-11-21 12:01:44	2022-11-21 12:06:21	277
8	60dfa262b225a8e45b6d4421	2022-11-20 22:28:12	2022-11-20 22:41:37	805
9	5f69a3c91c1e25193e3f9c7b	2022-11-20 21:45:32	2022-11-20 21:51:53	381
10	628f73adc5b81a118dfb1a06	2022-11-20 20:01:38	2022-11-20 20:10:40	542
11	57fbd79de7e73400019ca256	2022-11-20 18:19:13	2022-11-20 18:30:40	687
12	5c17c149f596b100011ca8b8	2022-11-19 20:23:01	2022-11-20 08:25:13	43332
13	5f7e180204eed80b515a3569	2022-11-19 13:22:27	2022-11-19 13:33:19	652
14	5f28431d82be890d2f58a32d	2022-11-19 09:58:27	2022-11-19 10:08:21	594
15	5c37223ebef9a20001e38dad	2022-11-18 21:33:52	2022-11-18 22:08:39	2087
16	62ebd08bd6729790ced8587f	2022-11-18 20:38:56	2022-11-18 20:44:25	329
17	60ddcc052137212419247c3c	2022-11-18 13:18:33	2022-11-18 13:23:17	284
18	63468948a737d638cacf18bb	2022-11-18 12:41:57	2022-11-18 12:46:22	265
19	603ce90d158dc4ae761a15fa	2022-11-18 11:27:37	2022-11-18 11:36:21	524
20	5d651053afb8f700198459d4	2022-11-17 20:52:55	2022-11-17 21:02:14	559
21	5fc0ddfbcfc57d00094c4b3d	2022-11-17 19:32:59	2022-11-17 19:38:04	305
22	5bbbcd283895e3000163213f	2022-11-17 11:57:16	2022-11-17 12:00:40	204
23	5f493fea06249046a8db8569	2022-11-16 23:57:35	2022-11-17 00:02:49	314
24	611cecb5dbc0658aad64bf2d	2022-11-16 21:26:04	2022-11-16 21:30:48	284
25	5c4b987538878c0001c7883b	2022-11-16 09:48:05	2022-11-16 09:54:17	372
26	5caa61abcb4af3001640e877	2022-11-15 21:03:16	2022-11-15 21:08:21	305
27	611cf78346c5e728a66f1ebe	2022-11-15 13:18:42	2022-11-15 13:22:41	239
28	5dbb0562b1df1b110ead5bba	2022-11-15 12:34:30	2022-11-15 12:41:07	397
29	5baa81380d7ad600017a85de	2022-11-15 08:12:36	2022-11-15 08:15:34	178
30	5b2accc228c8850001e7f85b	2022-11-14 23:52:55	2022-11-14 23:57:59	304
31	5efb98c3d5919f121a986486	2022-11-14 20:06:17	2022-11-14 20:10:36	259
32	5ed68c770e41400dd0056c55	2022-11-14 18:09:17	2022-11-14 18:19:03	586
33	5b6cd747a1fda800015ff9ba	2022-11-14 14:16:07	2022-11-14 15:35:27	4760
34	60c20abfdccab926283d8f7f	2022-11-14 15:12:11	2022-11-14 15:16:37	266
35	5d9261e776e8dd00195f28f2	2022-11-14 14:10:09	2022-11-14 14:14:51	282
36	634d73a0b235813241e9532a	2022-11-14 12:46:10	2022-11-14 12:48:25	135
