Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63616e70481b215c0e45120d,5fb13129b04a8557d629bb16,APPROVED,2022-11-01T19:08:18.484000Z,2022-11-01T19:46:45.435000Z,2022-11-01T19:46:45.883000Z,2022-11-01T19:46:45.820656Z,2307.0,C14BP128,429,26,Female,White,Lithuania,United Kingdom,Lithuania,Lithuanian,No,Full-Time
6361731f5f4985b996f95845,5ce7f7ae2aa9590016af2ba7,APPROVED,2022-11-01T19:27:32.157000Z,2022-11-01T19:57:45.896000Z,2022-11-01T19:57:46.383000Z,2022-11-01T19:57:46.355935Z,1814.0,C14BP128,1197,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63617f9d265de44df50b4352,5e1781093582cc082a68723c,APPROVED,2022-11-01T20:21:06.688000Z,2022-11-01T20:53:09.504000Z,2022-11-01T20:53:10.640000Z,2022-11-01T20:53:12.085926Z,1923.0,C14BP128,325,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
636187450f721cf6c39c95d7,6128bb91e53faf657695550c,APPROVED,2022-11-01T20:53:28.056000Z,2022-11-01T21:14:13.691000Z,2022-11-01T21:14:15.867000Z,2022-11-01T21:14:15.764031Z,1246.0,C14BP128,525,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6361980a06f0a8c44ebffb79,6149b27bd1d1f40ed535c2b4,APPROVED,2022-11-01T22:05:16.705000Z,2022-11-01T22:32:28.382000Z,2022-11-01T22:32:28.822000Z,2022-11-01T22:32:28.751278Z,1632.0,C14BP128,437,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63619e442e5bd8f4f7bd1383,5d575f44182f9f001900a380,APPROVED,2022-11-01T22:31:35.900000Z,2022-11-01T22:58:23.268000Z,2022-11-01T22:58:23.645000Z,2022-11-01T22:58:23.577236Z,1608.0,C14BP128,109,22,Female,Asian,United Kingdom,United Kingdom,United Kingdom,Bengali,Yes,Unemployed (and job seeking)
63624b5dd6855cfc15c1adb1,5ecffbd8141ffb0a3ec0eb86,APPROVED,2022-11-02T10:50:08.589000Z,2022-11-02T11:18:09.719000Z,2022-11-02T11:18:10.139000Z,2022-11-02T11:18:10.057588Z,1682.0,C14BP128,140,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63626a4bb4b55f143a333e47,5f34625f68dec936969152b0,APPROVED,2022-11-02T13:02:53.436000Z,2022-11-02T13:29:55.272000Z,2022-11-02T13:29:55.806000Z,2022-11-02T13:29:55.753171Z,1622.0,C14BP128,217,21,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63612515b490a5889791f4e1,5cddc2123fd85e0017cf6e93,RETURNED,2022-11-01T14:05:00.013000Z,,,,,,436,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6361277c82d749c041c61446,634b019c131faf32332e429d,TIMED-OUT,2022-11-01T14:05:20.332000Z,,,,31709917.0,,502,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6361486a0a126a8695701800,5fd329adf2515a16ef7d1b58,RETURNED,2022-11-01T16:25:17.326000Z,,,,,,796,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
636157706d80cb114c192d57,5f1b5446ba959b33dbc0eede,TIMED-OUT,2022-11-01T17:29:20.968000Z,,,,31697677.0,,32,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
636162855c7ad2f5478315c2,5e808eb795fdc17626bcc164,TIMED-OUT,2022-11-01T18:16:39.106000Z,,,,31694839.0,,607,24,Female,Asian,United Kingdom,United Kingdom,United Kingdom,Tamil,DATA_EXPIRED,DATA_EXPIRED
