Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641dff17a7d52b3121eb5f05,5c1575e62a407b0001ff2a4c,APPROVED,2023-03-24T19:50:51.034000Z,2023-03-24T19:55:36.684000Z,2023-03-24T19:55:37.153000,2023-03-24T19:55:37.076461Z,286,C14BP128,2110,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641dff6a7f2a436e87833a82,614e43c148febeb17c93e998,APPROVED,2023-03-24T19:52:16.252000Z,2023-03-24T20:00:13.556000Z,2023-03-24T20:00:14.145000,2023-03-24T20:00:13.919222Z,478,C14BP128,815,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641dffc1e1ff3695f0fb96c0,5d0e0c9c312297001a37d0ca,APPROVED,2023-03-24T19:53:40.788000Z,2023-03-24T19:56:51.716000Z,2023-03-24T19:56:52.790000,2023-03-24T19:56:52.740040Z,191,C14BP128,106,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
641e00fa5723e9155fc5158e,5d4c06c6a8d9fb001a1470d5,APPROVED,2023-03-24T19:58:50.340000Z,2023-03-24T20:07:25.074000Z,2023-03-24T20:07:25.583000,2023-03-24T20:07:25.518469Z,515,C14BP128,932,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641e0164937a9f24e5605ef3,5a3026823eff6600016f2807,APPROVED,2023-03-24T20:01:11.636000Z,2023-03-24T20:08:15.616000Z,2023-03-24T20:08:16.071000,2023-03-24T20:08:16.017332Z,424,C14BP128,564,24,Female,Other,United Kingdom,United Kingdom,Qatar,English,Yes,Due to start a new job within the next month
641e01836af22531130da320,62b4549c1274c2a12d600182,APPROVED,2023-03-24T20:01:07.896000Z,2023-03-24T20:08:06.695000Z,2023-03-24T20:08:07.212000,2023-03-24T20:08:07.153702Z,419,C14BP128,46,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
641e02329658eee8aa17cd6c,62fbe0847bebdb10fff2494c,APPROVED,2023-03-24T20:04:06.163000Z,2023-03-24T20:16:34.066000Z,2023-03-24T20:16:34.493000,2023-03-24T20:16:34.414882Z,748,C14BP128,182,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e0267786aef516a9750f8,5a3ad6ba2f3c2500018bc4e4,APPROVED,2023-03-24T20:04:57.901000Z,2023-03-24T20:11:50.392000Z,2023-03-24T20:11:50.978000,2023-03-24T20:11:50.919165Z,413,C14BP128,532,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
641e03486c2f4386f3cd9ccd,62b1fa2bf698dc051bfca2d4,APPROVED,2023-03-24T20:08:42.899000Z,2023-03-24T20:13:38.454000Z,2023-03-24T20:13:38.938000,2023-03-24T20:13:38.879358Z,296,C14BP128,148,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
641e036ac8426b61c3c1fb2e,55bdcb08fdf99b7c544b9d0e,APPROVED,2023-03-24T20:09:14.388000Z,2023-03-24T20:13:23.877000Z,2023-03-24T20:13:24.334000,2023-03-24T20:13:24.278258Z,250,C14BP128,387,42,Male,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
641e03f2ff1af3d061c515e2,5d77b52ae3a8220001553b83,APPROVED,2023-03-24T20:11:35.988000Z,2023-03-24T20:18:47.192000Z,2023-03-24T20:18:50.193000,2023-03-24T20:18:50.153564Z,432,C14BP128,255,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e04d1490cbf9b81c09792,60f84b82661faf6c4a0c56a5,APPROVED,2023-03-24T20:15:13.273000Z,2023-03-24T20:21:36.975000Z,2023-03-24T20:21:37.506000,2023-03-24T20:21:37.441041Z,384,C14BP128,445,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
641e04f6c1d1170650e19af8,6104f8978020bd0eaa8058dc,APPROVED,2023-03-24T20:15:50.942000Z,2023-03-24T20:19:50.545000Z,2023-03-24T20:19:51.028000,2023-03-24T20:19:50.966692Z,240,C14BP128,231,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641e051217ad753db0e19a89,63dd0296c917bf02b8a6fdb3,APPROVED,2023-03-24T20:16:48.624000Z,2023-03-24T20:25:47.831000Z,2023-03-24T20:25:48.355000,2023-03-24T20:25:48.291892Z,540,C14BP128,63,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
641e055aab408ab343605f10,5d532bb9d103e90018c69203,APPROVED,2023-03-24T20:17:32.489000Z,2023-03-24T20:22:42.155000Z,2023-03-24T20:22:42.544000,2023-03-24T20:22:42.484999Z,310,C14BP128,850,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
